KNID,KNJAPAN,KNJPOP,KNYEAR,Filename,SongTitle,ArtistTitle,ParentArtist,ReleaseTitle,ReleaseArtistTitle,ReleaseYear,Rating,Genre,DateCreated,VocalCode,LanguageCode,InAppleMusic,LyricsURL,SongTitleAlt,ArtistTitleAlt,ReleaseTitleAlt,ReleaseArtistTitleAlt,ArtistCode
223,204,183,2009,Kizuato,Kizuato,Kalafina,Kalafina,oblivious,Kalafina,2009,5,JPop,2009.03.20,FFF,JP,1,https://www.uta-net.com/song/61860/,傷跡,Kalafina,oblivious,Kalafina,ID
1223,1155,1019,2014,Namida ga Kieru Nara,Namida ga Kieru Nara,Ikimonogakari,Ikimonogakari,Netsujou no Spectrum/Namida ga Kieru Nara,Ikimonogakari,2014,4,JPop,2014.10.19,F,JP,1,https://www.uta-net.com/song/170637/,涙がきえるなら,いきものがかり,熱情のスペクトラム/涙がきえるなら,いきものがかり,BD
2223,2136,1974,2019,"Gairo, Light no Akari Dake","Gairo, Light no Akari Dake",Sangatsu no Phantasia,Sangatsu no Phantasia,Girls Blue Happy Sad,Sangatsu no Phantasia,2019,4,JPop,2019.03.13,F,JP,1,https://www.uta-net.com/song/264360/,街路、ライトの灯りだけ,三月のパンタシア,ガールズブルー・ハッピーサッド,三月のパンタシア,SL
2230,2143,1981,2019,Guruguru Oblaat,Guruguru Oblaat,Natsukawa Shiina,Natsukawa Shiina,Ep01,Natsukawa Shiina,2019,4,JPop,2019.09.27,F,JP,1,https://www.uta-net.com/song/274672/,グルグルオブラート,夏川椎菜,Ep01,夏川椎菜,SL
2231,2144,1982,2019,Haguruma,Haguruma,KANA-BOON,KANA-BOON,Haguruma,KANA-BOON,2019,4,JRock,2019.03.08,M,JP,1,https://www.uta-net.com/song/264257/,ハグルマ,KANA-BOON,ハグルマ,KANA-BOON,BD
2232,2145,1983,2019,Hajimari no Uta,Hajimari no Uta,MaRuRi to Ryuga,MaRuRi to Ryuga,Omishiri Oki wo,MaRuRi to Ryuga,2019,5,JPop,2019.09.04,FM,JP,1,https://www.uta-net.com/song/271087/,はじまりの唄,まるりとりゅうが,お見知りおきを,まるりとりゅうが,BD
2233,2146,,2019,Hakanai Kiss de Owarasete,Hakanai Kiss de Owarasete,Tachibana Hina (CV: Hikasa Youko),Hikasa Youko,TV Anime Domestic na Kanojo Sound Collection,Kouda Masato,2019,4,Soundtrack,2019.04.15,F,JP,0,https://www.uta-net.com/song/265284/,儚いキスで終わらせて,橘陽菜(CV:日笠陽子),TVアニメ「ドメスティックな彼女」サウンドコレクション,甲田雅人,AS
2234,2147,1984,2019,halo effect,halo effect,yanaginagi,yanaginagi,memorandum,yanaginagi,2019,4,JPop,2019.11.20,F,JP,1,https://www.uta-net.com/song/130533/,halo effect,やなぎなぎ,memorandum,やなぎなぎ,SL
2235,2148,1985,2019,Hana,Hana,Hata Motohiro,Hata Motohiro,Hana,Hata Motohiro,2018,4,JPop,2019.01.14,M,JP,1,https://www.uta-net.com/song/257834/,花,秦 基博,花,秦 基博,SS
2236,2149,1986,2019,Hanabira Tachi no March,Hanabira Tachi no March,Aimer,Aimer,Sun Dance,Aimer,2019,4,JPop,2019.04.15,F,JP,1,https://www.uta-net.com/song/261626/,花びらたちのマーチ,Aimer,Sun Dance,Aimer,SS
2237,2150,1987,2019,Hankachi,Hankachi,Cocoro Auction,Cocoro Auction,VIVI,Cocoro Auction,2019,4,JRock,2019.04.09,M,JP,1,https://www.uta-net.com/song/265060/,ハンカチ,ココロオークション,VIVI,ココロオークション,BD
2238,2151,1988,2019,Hapipapi,Hapipapi,spira.spica,spira.spica,Koi wa Miracle,spira.spica,2019,4,JPop,2019.06.02,F,JP,1,https://www.uta-net.com/song/268263/,ハピパピ,スピラ・スピカ,恋はミラクル,スピラ・スピカ,BD
2239,2152,1989,2019,Haru to Usotsuki.,Haru to Usotsuki.,amatsuuni,amatsuuni,silent days,amatsuuni,2019,4,JPop,2019.06.10,F,JP,1,https://www.uta-net.com/song/268885/,春とウソツキ。,あま津うに,silent days,あま津うに,SL
